,scan_id,plan_name,motors,detectors,energy[eV],Tsample[K],sx,fccd_aquire_time,fccd_num_images,fccd_image_type,fccd_ct_time,scan_time[min],sample_type,sample_comp,purpose,notes
0,150959,rel_scan,['sz'],['dif_beam'],709.0,30.17,9.5,-,-,-,-,1.6,laser cryo exp,razor,na,
1,150960,rel_scan,['sz'],['dif_beam'],709.0,30.22,9.5,-,-,-,-,4.6,laser cryo exp,razor,na,
2,150961,rel_scan,['sx'],['dif_beam'],709.0,31.05,10.0,-,-,-,-,8.6,laser cryo exp,razor,na,
3,150962,rel_scan,['sx'],['dif_beam'],709.0,30.81,10.14,-,-,-,-,6.1,laser cryo exp,razor,na,
4,150963,rel_scan,['sx'],['dif_beam'],709.0,30.0,10.45,-,-,-,-,9.1,laser_cryo_exp,razor,intial sx center,
5,150964,rel_scan,['sx'],['dif_beam'],709.0,30.0,10.19,-,-,-,-,7.4,laser_cryo_exp,razor,rough sx center,
6,150965,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,30.0,9.82,-,-,-,-,3.1,laser_cryo_exp,razor,na,
7,150966,rel_scan,['sx'],['dif_beam'],709.0,30.0,10.19,-,-,-,-,7.8,laser_cryo_exp,razor,sx center 1 T,
8,150967,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,30.0,9.82,-,-,-,-,3.1,laser_cryo_exp,razor,na,
9,150968,rel_scan,['sx'],['dif_beam'],709.0,30.0,10.19,-,-,-,-,7.9,laser_cryo_exp,razor,sx center 1 T,
10,150969,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,30.0,9.82,-,-,-,-,3.1,laser_cryo_exp,razor,na,
11,150970,rel_scan,['sx'],['dif_beam'],709.0,30.0,10.19,-,-,-,-,7.8,laser_cryo_exp,razor,sx center 1 T,
12,150971,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,30.0,9.82,-,-,-,-,3.1,laser_cryo_exp,razor,na,
13,150973,rel_scan,['sx'],['dif_beam'],709.0,39.0,10.42,-,-,-,-,9.1,laser_cryo_exp,razor,intial sx center,
14,150974,rel_scan,['sx'],['dif_beam'],709.0,39.0,10.2,-,-,-,-,7.4,laser_cryo_exp,razor,rough sx center,
15,150975,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,39.0,9.83,-,-,-,-,3.1,laser_cryo_exp,razor,na,
16,150976,rel_scan,['sx'],['dif_beam'],709.0,39.0,10.21,-,-,-,-,7.8,laser_cryo_exp,razor,sx center 1 T,
17,150977,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,39.0,9.83,-,-,-,-,3.1,laser_cryo_exp,razor,na,
18,150978,rel_scan,['sx'],['dif_beam'],709.0,39.0,10.2,-,-,-,-,7.9,laser_cryo_exp,razor,sx center 1 T,
19,150979,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,39.0,9.83,-,-,-,-,3.1,laser_cryo_exp,razor,na,
20,150980,rel_scan,['sx'],['dif_beam'],709.0,39.0,10.21,-,-,-,-,7.8,laser_cryo_exp,razor,sx center 1 T,
21,150981,rel_scan,['sx'],['dif_beam'],709.0,54.0,10.46,-,-,-,-,9.1,laser_cryo_exp,razor,intial sx center,
22,150982,rel_scan,['sx'],['dif_beam'],709.0,54.0,10.22,-,-,-,-,7.4,laser_cryo_exp,razor,rough sx center,
23,150983,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,54.0,9.86,-,-,-,-,3.1,laser_cryo_exp,razor,na,
24,150985,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,54.0,9.57,-,-,-,-,3.2,laser_cryo_exp,razor,na,
25,150987,rel_scan,['sx'],['dif_beam'],709.0,54.0,10.2,-,-,-,-,9.1,laser_cryo_exp,razor,intial sx center,
